source_run,excluded_from_performance,sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
expert-unfused,False,1786539737737387900,2026/08/12 23:02:17.769,85.0,7.0,19365.0,32607.0,317.96,2835.0,13801.0
expert-unfused,False,1786539738291737900,2026/08/12 23:02:18.323,86.0,7.0,19365.0,32607.0,323.47,2827.0,13801.0
expert-unfused,False,1786539738846371300,2026/08/12 23:02:18.877,87.0,7.0,19365.0,32607.0,328.48,2827.0,13801.0
expert-unfused,False,1786539739387047000,2026/08/12 23:02:19.417,80.0,4.0,19365.0,32607.0,329.7,2797.0,13801.0
expert-unfused,False,1786539739939282200,2026/08/12 23:02:19.970,77.0,4.0,19365.0,32607.0,325.04,2790.0,13801.0
expert-unfused,False,1786539740478861600,2026/08/12 23:02:20.510,89.0,10.0,19363.0,32607.0,316.41,2865.0,13801.0
expert-unfused,False,1786539741018138100,2026/08/12 23:02:21.049,89.0,10.0,19359.0,32607.0,315.58,2865.0,13801.0
expert-unfused,False,1786539741570876900,2026/08/12 23:02:21.602,89.0,10.0,19365.0,32607.0,316.51,2865.0,13801.0
expert-unfused,False,1786539742112506300,2026/08/12 23:02:22.144,89.0,10.0,19365.0,32607.0,316.04,2865.0,13801.0
expert-unfused,False,1786539742651106400,2026/08/12 23:02:22.682,89.0,10.0,19365.0,32607.0,317.08,2865.0,13801.0
expert-unfused,False,1786539743201055800,2026/08/12 23:02:23.233,87.0,8.0,19365.0,32607.0,329.37,2835.0,13801.0
expert-unfused,False,1786539743753314200,2026/08/12 23:02:23.784,87.0,7.0,19365.0,32607.0,333.31,2827.0,13801.0
expert-unfused,False,1786539744292844200,2026/08/12 23:02:24.324,85.0,7.0,19365.0,32607.0,333.81,2835.0,13801.0
expert-unfused,False,1786539744835038900,2026/08/12 23:02:24.866,79.0,3.0,19365.0,32607.0,337.91,2782.0,13801.0
ncu,True,1786540364595746100,2026/08/12 23:12:44.664,0.0,0.0,19489.0,32607.0,28.21,540.0,810.0
ncu,True,1786540365185350400,2026/08/12 23:12:45.248,32.0,5.0,19489.0,32607.0,59.87,2872.0,13801.0
ncu,True,1786540365771053100,2026/08/12 23:12:45.834,0.0,0.0,19489.0,32607.0,89.8,2880.0,13801.0
ncu,True,1786540366357257900,2026/08/12 23:12:46.420,0.0,0.0,19491.0,32607.0,92.45,2880.0,13801.0
ncu,True,1786540366942825800,2026/08/12 23:12:47.006,0.0,0.0,19497.0,32607.0,82.87,1462.0,7001.0
ncu,True,1786540367529534500,2026/08/12 23:12:47.590,0.0,0.0,19497.0,32607.0,62.4,1200.0,7001.0
