sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786540412254728700,2026/08/12 23:13:32.318,26.0,4.0,19489.0,32607.0,63.92,2872.0,13801.0
1786540412838834800,2026/08/12 23:13:32.901,0.0,0.0,19489.0,32607.0,94.28,2880.0,13801.0
1786540413424925900,2026/08/12 23:13:33.488,0.0,0.0,19495.0,32607.0,84.92,2880.0,13801.0
1786540413997763600,2026/08/12 23:13:34.061,0.0,0.0,19495.0,32607.0,71.75,757.0,7001.0
1786540414570070100,2026/08/12 23:13:34.633,0.0,0.0,19495.0,32607.0,52.31,652.0,810.0
1786540415156584700,2026/08/12 23:13:35.220,0.0,0.0,19495.0,32607.0,33.83,562.0,810.0
1786540415728803400,2026/08/12 23:13:35.792,0.0,0.0,19495.0,32607.0,25.17,465.0,810.0
1786540416315771700,2026/08/12 23:13:36.379,0.0,0.0,19495.0,32607.0,24.98,420.0,810.0
1786540416902600000,2026/08/12 23:13:36.964,91.0,43.0,19495.0,32607.0,34.02,1327.0,13801.0
1786540417487724500,2026/08/12 23:13:37.550,0.0,0.0,19489.0,32607.0,59.48,1942.0,13801.0
1786540418060118800,2026/08/12 23:13:38.124,0.0,0.0,19489.0,32607.0,50.02,1942.0,13801.0
1786540418644998700,2026/08/12 23:13:38.708,0.0,0.0,19489.0,32607.0,46.97,795.0,810.0
1786540419218039500,2026/08/12 23:13:39.281,1.0,0.0,19489.0,32607.0,44.94,1395.0,810.0
1786540419804742600,2026/08/12 23:13:39.868,0.0,0.0,19489.0,32607.0,36.92,990.0,810.0
1786540420377418400,2026/08/12 23:13:40.440,0.0,0.0,19489.0,32607.0,27.43,817.0,810.0
1786540420963695300,2026/08/12 23:13:41.027,0.0,0.0,19489.0,32607.0,24.97,592.0,405.0
1786540421549085600,2026/08/12 23:13:41.611,0.0,0.0,19489.0,32607.0,35.45,1200.0,810.0
1786540422120686800,2026/08/12 23:13:42.184,0.0,0.0,19489.0,32607.0,37.83,1117.0,810.0
1786540422692643100,2026/08/12 23:13:42.755,0.0,0.0,19489.0,32607.0,28.66,922.0,810.0
1786540423277731200,2026/08/12 23:13:43.341,0.0,0.0,19489.0,32607.0,26.8,780.0,405.0
1786540423850170600,2026/08/12 23:13:43.913,0.0,0.0,19489.0,32607.0,25.51,637.0,405.0
1786540424421731500,2026/08/12 23:13:44.485,0.0,0.0,19489.0,32607.0,39.2,1140.0,810.0
1786540424993831300,2026/08/12 23:13:45.057,0.0,0.0,19489.0,32607.0,29.23,930.0,810.0
1786540425580114000,2026/08/12 23:13:45.644,0.0,0.0,19489.0,32607.0,26.96,772.0,405.0
1786540426164955700,2026/08/12 23:13:46.228,63.0,28.0,19489.0,32607.0,32.47,1260.0,405.0
1786540426751109600,2026/08/12 23:13:46.814,0.0,0.0,19489.0,32607.0,83.34,2880.0,13801.0
1786540427322776900,2026/08/12 23:13:47.386,0.0,0.0,19495.0,32607.0,111.96,2880.0,13801.0
1786540427907967900,2026/08/12 23:13:47.971,0.0,0.0,19497.0,32607.0,85.33,2880.0,13801.0
1786540428492359100,2026/08/12 23:13:48.556,0.0,0.0,19497.0,32607.0,75.64,952.0,7001.0
1786540429066180900,2026/08/12 23:13:49.128,0.0,0.0,19497.0,32607.0,48.79,592.0,7001.0
1786540429651311900,2026/08/12 23:13:49.714,0.0,0.0,19497.0,32607.0,31.81,517.0,810.0
1786540430238113900,2026/08/12 23:13:50.301,0.0,0.0,19498.0,32607.0,28.17,442.0,810.0
1786540430825043300,2026/08/12 23:13:50.888,0.0,0.0,19498.0,32607.0,25.3,397.0,810.0
1786540431398512500,2026/08/12 23:13:51.462,0.0,0.0,19498.0,32607.0,40.69,1380.0,13801.0
1786540431972877100,2026/08/12 23:13:52.036,0.0,0.0,19498.0,32607.0,49.48,1867.0,13801.0
1786540432559937700,2026/08/12 23:13:52.622,0.0,0.0,19498.0,32607.0,49.47,1867.0,13801.0
1786540433145197600,2026/08/12 23:13:53.208,0.0,0.0,19495.0,32607.0,44.83,480.0,7001.0
1786540433718150500,2026/08/12 23:13:53.782,0.0,0.0,19491.0,32607.0,43.67,457.0,810.0
1786540434291542900,2026/08/12 23:13:54.355,0.0,0.0,19491.0,32607.0,33.47,382.0,810.0
1786540434878141400,2026/08/12 23:13:54.941,0.0,0.0,19489.0,32607.0,25.04,345.0,810.0
1786540435451056000,2026/08/12 23:13:55.514,34.0,12.0,19489.0,32607.0,36.1,705.0,405.0
1786540436036553100,2026/08/12 23:13:56.099,0.0,0.0,19489.0,32607.0,35.64,855.0,405.0
1786540436620663900,2026/08/12 23:13:56.684,0.0,0.0,19489.0,32607.0,32.35,705.0,405.0
1786540437207106300,2026/08/12 23:13:57.271,0.0,0.0,19489.0,32607.0,24.8,585.0,405.0
1786540437779538400,2026/08/12 23:13:57.843,0.0,0.0,19489.0,32607.0,24.47,502.0,405.0
1786540438364991300,2026/08/12 23:13:58.428,19.0,7.0,19489.0,32607.0,35.18,1402.0,810.0
1786540438950657900,2026/08/12 23:13:59.014,0.0,0.0,19489.0,32607.0,26.6,765.0,405.0
1786540439537568100,2026/08/12 23:13:59.601,0.0,0.0,19489.0,32607.0,25.12,630.0,405.0
1786540440109921600,2026/08/12 23:14:00.173,0.0,0.0,19489.0,32607.0,24.62,555.0,405.0
1786540440697814500,2026/08/12 23:14:00.761,69.0,14.0,19489.0,32607.0,81.34,2595.0,13801.0
1786540441283094700,2026/08/12 23:14:01.346,0.0,0.0,19489.0,32607.0,111.89,2880.0,13801.0
1786540441854540600,2026/08/12 23:14:01.918,0.0,0.0,19495.0,32607.0,85.46,2880.0,13801.0
1786540442441462900,2026/08/12 23:14:02.505,0.0,0.0,19495.0,32607.0,71.89,1102.0,7001.0
1786540443027330100,2026/08/12 23:14:03.090,0.0,0.0,19495.0,32607.0,59.61,712.0,7001.0
1786540443613851900,2026/08/12 23:14:03.677,0.0,0.0,19495.0,32607.0,45.04,607.0,7001.0
1786540444187260700,2026/08/12 23:14:04.249,0.0,0.0,19495.0,32607.0,33.44,510.0,7001.0
1786540444758225900,2026/08/12 23:14:04.821,0.0,0.0,19495.0,32607.0,30.58,427.0,810.0
1786540445344629500,2026/08/12 23:14:05.408,20.0,6.0,19493.0,32607.0,42.8,645.0,810.0
1786540445931412300,2026/08/12 23:14:05.994,0.0,0.0,19489.0,32607.0,84.33,2655.0,13801.0
1786540446503391600,2026/08/12 23:14:06.567,0.0,0.0,19489.0,32607.0,75.04,2655.0,13801.0
1786540447090373300,2026/08/12 23:14:07.153,0.0,0.0,19489.0,32607.0,67.9,1837.0,7001.0
1786540447675596500,2026/08/12 23:14:07.739,5.0,0.0,19489.0,32607.0,60.14,1012.0,7001.0
1786540448249123800,2026/08/12 23:14:08.312,0.0,0.0,19489.0,32607.0,44.66,667.0,7001.0
1786540448835026100,2026/08/12 23:14:08.898,0.0,0.0,19489.0,32607.0,33.47,577.0,7001.0
1786540449407929700,2026/08/12 23:14:09.471,0.0,0.0,19489.0,32607.0,33.12,502.0,7001.0
1786540449993978400,2026/08/12 23:14:10.057,0.0,0.0,19489.0,32607.0,34.73,825.0,810.0
1786540450580118000,2026/08/12 23:14:10.643,0.0,0.0,19489.0,32607.0,33.95,615.0,810.0
1786540451153282400,2026/08/12 23:14:11.215,0.0,0.0,19489.0,32607.0,25.19,532.0,405.0
1786540451738543200,2026/08/12 23:14:11.801,0.0,0.0,19489.0,32607.0,24.87,450.0,405.0
1786540452324123600,2026/08/12 23:14:12.387,0.0,0.0,19489.0,32607.0,24.53,390.0,405.0
1786540452910879200,2026/08/12 23:14:12.974,0.0,0.0,19489.0,32607.0,54.76,1867.0,13801.0
1786540453484487800,2026/08/12 23:14:13.547,0.0,0.0,19489.0,32607.0,49.05,1867.0,13801.0
1786540454068895500,2026/08/12 23:14:14.132,0.0,0.0,19489.0,32607.0,49.08,1867.0,13801.0
