source,gpu_utilization_percent,memory_controller_utilization_percent,power_w,temperature_c,timestamp,vram_used_mib
attention-raw.json,4.0,1.0,57.73,48.0,2026/08/13 16:49:07.723,2532.0
attention-raw.json,7.0,1.0,71.96,48.0,2026/08/13 16:49:08.278,2370.0
attention-raw.json,4.0,1.0,75.16,48.0,2026/08/13 16:49:08.828,2278.0
attention-raw.json,27.0,2.0,70.74,50.0,2026/08/13 16:49:09.379,2230.0
attention-raw.json,6.0,1.0,62.21,48.0,2026/08/13 16:49:09.930,2356.0
attention-raw.json,32.0,1.0,67.34,49.0,2026/08/13 16:49:10.469,2230.0
attention-raw.json,2.0,0.0,71.6,48.0,2026/08/13 16:49:11.021,2314.0
attention-raw.json,4.0,1.0,66.22,49.0,2026/08/13 16:49:11.573,2502.0
other-shards-raw.json,0.0,0.0,35.38,48.0,2026/08/13 16:49:18.872,1715.0
other-shards-raw.json,0.0,0.0,34.97,48.0,2026/08/13 16:49:19.645,2210.0
other-shards-raw.json,0.0,0.0,49.47,49.0,2026/08/13 16:49:20.187,2218.0
other-shards-raw.json,0.0,0.0,67.66,49.0,2026/08/13 16:49:20.757,2218.0
other-shards-raw.json,0.0,0.0,67.7,49.0,2026/08/13 16:49:21.328,2218.0
other-shards-raw.json,0.0,0.0,67.76,49.0,2026/08/13 16:49:22.181,2778.0
other-shards-raw.json,5.0,1.0,67.99,49.0,2026/08/13 16:49:22.735,2222.0
other-shards-raw.json,13.0,1.0,72.64,49.0,2026/08/13 16:49:23.289,3062.0
other-shards-raw.json,10.0,2.0,72.88,49.0,2026/08/13 16:49:23.842,3058.0
other-shards-raw.json,6.0,1.0,72.24,49.0,2026/08/13 16:49:24.396,2218.0
other-shards-raw.json,12.0,1.0,72.42,49.0,2026/08/13 16:49:24.936,2218.0
other-shards-raw.json,16.0,2.0,73.38,49.0,2026/08/13 16:49:25.490,2214.0
other-shards-raw.json,6.0,1.0,73.41,49.0,2026/08/13 16:49:26.042,3054.0
other-shards-raw.json,14.0,2.0,73.84,49.0,2026/08/13 16:49:26.596,2214.0
other-shards-raw.json,14.0,3.0,59.92,48.0,2026/08/13 16:49:27.137,3054.0
other-shards-raw.json,6.0,1.0,43.1,48.0,2026/08/13 16:49:27.679,2214.0
other-shards-raw.json,17.0,3.0,42.45,48.0,2026/08/13 16:49:28.233,2214.0
other-shards-raw.json,6.0,2.0,44.3,49.0,2026/08/13 16:49:28.785,2256.0
other-shards-raw.json,17.0,3.0,43.64,48.0,2026/08/13 16:49:29.337,3054.0
other-shards-raw.json,13.0,3.0,41.22,48.0,2026/08/13 16:49:29.877,3054.0
other-shards-raw.json,14.0,3.0,39.61,48.0,2026/08/13 16:49:30.430,2494.0
other-shards-raw.json,6.0,2.0,39.49,48.0,2026/08/13 16:49:30.986,2398.0
other-shards-raw.json,3.0,1.0,40.35,48.0,2026/08/13 16:49:31.539,2432.0
other-shards-raw.json,7.0,1.0,42.94,48.0,2026/08/13 16:49:32.090,3054.0
other-shards-raw.json,6.0,1.0,44.06,48.0,2026/08/13 16:49:32.643,3054.0
other-shards-raw.json,10.0,3.0,41.97,49.0,2026/08/13 16:49:33.183,2214.0
other-shards-raw.json,18.0,3.0,39.84,48.0,2026/08/13 16:49:33.725,2214.0
other-shards-raw.json,14.0,3.0,40.48,48.0,2026/08/13 16:49:34.265,2214.0
other-shards-raw.json,12.0,3.0,43.06,49.0,2026/08/13 16:49:34.815,2214.0
other-shards-raw.json,18.0,3.0,43.15,48.0,2026/08/13 16:49:35.354,3054.0
other-shards-raw.json,7.0,1.0,42.06,48.0,2026/08/13 16:49:35.894,2214.0
other-shards-raw.json,10.0,3.0,39.73,49.0,2026/08/13 16:49:36.448,3054.0
other-shards-raw.json,19.0,3.0,39.59,48.0,2026/08/13 16:49:36.999,2214.0
other-shards-raw.json,11.0,2.0,40.89,49.0,2026/08/13 16:49:37.548,2214.0
other-shards-raw.json,5.0,2.0,41.56,49.0,2026/08/13 16:49:38.100,2214.0
other-shards-raw.json,18.0,3.0,43.38,48.0,2026/08/13 16:49:38.639,3054.0
other-shards-raw.json,7.0,1.0,42.08,48.0,2026/08/13 16:49:39.192,3054.0
other-shards-raw.json,6.0,1.0,39.58,48.0,2026/08/13 16:49:39.733,2214.0
other-shards-raw.json,3.0,1.0,40.43,49.0,2026/08/13 16:49:40.271,2432.0
other-shards-raw.json,0.0,1.0,41.52,49.0,2026/08/13 16:49:40.824,2214.0
other-shards-raw.json,5.0,1.0,45.18,49.0,2026/08/13 16:49:41.378,3054.0
other-shards-raw.json,12.0,4.0,44.37,49.0,2026/08/13 16:49:41.917,3054.0
other-shards-raw.json,16.0,3.0,40.41,49.0,2026/08/13 16:49:42.471,2214.0
other-shards-raw.json,7.0,1.0,40.46,49.0,2026/08/13 16:49:43.011,2364.0
other-shards-raw.json,14.0,3.0,41.33,49.0,2026/08/13 16:49:43.564,2364.0
other-shards-raw.json,18.0,3.0,42.47,49.0,2026/08/13 16:49:44.104,2214.0
other-shards-raw.json,7.0,2.0,44.3,49.0,2026/08/13 16:49:44.644,2494.0
other-shards-raw.json,22.0,4.0,44.5,49.0,2026/08/13 16:49:45.199,3054.0
other-shards-raw.json,16.0,5.0,42.04,49.0,2026/08/13 16:49:45.738,3054.0
other-shards-raw.json,11.0,2.0,41.77,49.0,2026/08/13 16:49:46.277,2214.0
other-shards-raw.json,9.0,2.0,43.1,49.0,2026/08/13 16:49:46.818,2214.0
other-shards-raw.json,5.0,1.0,44.98,49.0,2026/08/13 16:49:47.356,2214.0
other-shards-raw.json,10.0,3.0,44.33,49.0,2026/08/13 16:49:47.908,3054.0
other-shards-raw.json,20.0,4.0,42.04,49.0,2026/08/13 16:49:48.447,3054.0
other-shards-raw.json,12.0,3.0,40.74,49.0,2026/08/13 16:49:48.987,2214.0
other-shards-raw.json,3.0,1.0,40.22,49.0,2026/08/13 16:49:49.542,2432.0
other-shards-raw.json,0.0,1.0,41.98,49.0,2026/08/13 16:49:50.095,2214.0
other-shards-raw.json,10.0,2.0,43.43,49.0,2026/08/13 16:49:50.667,2212.0
other-shards-raw.json,0.0,1.0,36.07,49.0,2026/08/13 16:49:51.285,2212.0
other-shards-raw.json,0.0,1.0,35.26,49.0,2026/08/13 16:49:51.854,2212.0
other-shards-raw.json,0.0,1.0,35.15,49.0,2026/08/13 16:49:52.532,2212.0
other-shards-raw.json,0.0,1.0,35.26,49.0,2026/08/13 16:49:53.103,2212.0
other-shards-raw.json,0.0,1.0,35.29,49.0,2026/08/13 16:49:53.658,2212.0
other-shards-raw.json,6.0,1.0,36.94,49.0,2026/08/13 16:49:54.212,2634.0
other-shards-raw.json,12.0,2.0,42.14,49.0,2026/08/13 16:49:54.753,2634.0
other-shards-raw.json,17.0,4.0,40.03,49.0,2026/08/13 16:49:55.308,2494.0
other-shards-raw.json,11.0,2.0,39.93,49.0,2026/08/13 16:49:55.847,2290.0
other-shards-raw.json,6.0,2.0,41.35,49.0,2026/08/13 16:49:56.398,2214.0
other-shards-raw.json,10.0,2.0,43.36,49.0,2026/08/13 16:49:56.939,2214.0
other-shards-raw.json,6.0,1.0,45.65,49.0,2026/08/13 16:49:57.478,2634.0
other-shards-raw.json,10.0,2.0,44.83,49.0,2026/08/13 16:49:58.018,2634.0
other-shards-raw.json,13.0,3.0,41.92,49.0,2026/08/13 16:49:58.571,2214.0
other-shards-raw.json,10.0,2.0,40.51,49.0,2026/08/13 16:49:59.112,2246.0
other-shards-raw.json,11.0,2.0,40.77,49.0,2026/08/13 16:49:59.652,2306.0
other-shards-raw.json,6.0,2.0,42.16,49.0,2026/08/13 16:50:00.197,2214.0
other-shards-raw.json,13.0,3.0,45.11,49.0,2026/08/13 16:50:00.740,2354.0
other-shards-raw.json,14.0,3.0,43.33,49.0,2026/08/13 16:50:01.287,2634.0
other-shards-raw.json,13.0,3.0,40.37,49.0,2026/08/13 16:50:01.840,2634.0
other-shards-raw.json,9.0,2.0,40.29,49.0,2026/08/13 16:50:02.394,2214.0
other-shards-raw.json,12.0,3.0,41.71,49.0,2026/08/13 16:50:02.948,2214.0
other-shards-raw.json,8.0,2.0,43.89,49.0,2026/08/13 16:50:03.486,2214.0
other-shards-raw.json,7.0,2.0,46.08,49.0,2026/08/13 16:50:04.039,2354.0
other-shards-raw.json,10.0,2.0,46.13,49.0,2026/08/13 16:50:04.594,2634.0
other-shards-raw.json,15.0,3.0,42.01,49.0,2026/08/13 16:50:05.146,2634.0
other-shards-raw.json,12.0,3.0,40.49,49.0,2026/08/13 16:50:05.685,2216.0
other-shards-raw.json,12.0,2.0,40.88,49.0,2026/08/13 16:50:06.238,2216.0
other-shards-raw.json,13.0,3.0,45.3,49.0,2026/08/13 16:50:06.790,2216.0
other-shards-raw.json,13.0,2.0,46.61,49.0,2026/08/13 16:50:07.342,2636.0
other-shards-raw.json,12.0,2.0,44.74,49.0,2026/08/13 16:50:07.882,2216.0
other-shards-raw.json,14.0,3.0,40.79,49.0,2026/08/13 16:50:08.423,2636.0
other-shards-raw.json,8.0,2.0,40.47,49.0,2026/08/13 16:50:08.963,2306.0
other-shards-raw.json,12.0,2.0,42.19,49.0,2026/08/13 16:50:09.515,2290.0
other-shards-raw.json,6.0,2.0,44.15,49.0,2026/08/13 16:50:10.069,2216.0
other-shards-raw.json,8.0,2.0,46.76,50.0,2026/08/13 16:50:10.622,2636.0
other-shards-raw.json,12.0,2.0,46.23,49.0,2026/08/13 16:50:11.161,2636.0
other-shards-raw.json,15.0,3.0,41.32,49.0,2026/08/13 16:50:11.699,2356.0
other-shards-raw.json,8.0,2.0,40.95,49.0,2026/08/13 16:50:12.252,2216.0
other-shards-raw.json,13.0,2.0,43.13,49.0,2026/08/13 16:50:12.805,2216.0
other-shards-raw.json,9.0,2.0,45.58,50.0,2026/08/13 16:50:13.345,2216.0
other-shards-raw.json,13.0,2.0,46.8,50.0,2026/08/13 16:50:13.894,2636.0
other-shards-raw.json,7.0,1.0,45.14,50.0,2026/08/13 16:50:14.447,2216.0
other-shards-raw.json,14.0,3.0,41.85,49.0,2026/08/13 16:50:14.985,2636.0
other-shards-raw.json,9.0,2.0,41.9,50.0,2026/08/13 16:50:15.539,2306.0
other-shards-raw.json,7.0,2.0,42.83,50.0,2026/08/13 16:50:16.092,2290.0
other-shards-raw.json,12.0,2.0,43.72,50.0,2026/08/13 16:50:16.644,2216.0
other-shards-raw.json,7.0,1.0,47.05,50.0,2026/08/13 16:50:17.196,2636.0
other-shards-raw.json,12.0,3.0,47.07,50.0,2026/08/13 16:50:17.748,2636.0
other-shards-raw.json,8.0,2.0,41.88,49.0,2026/08/13 16:50:18.301,2356.0
other-shards-raw.json,7.0,2.0,42.11,50.0,2026/08/13 16:50:18.853,2216.0
other-shards-raw.json,12.0,3.0,44.3,50.0,2026/08/13 16:50:19.393,2216.0
other-shards-raw.json,7.0,2.0,46.87,50.0,2026/08/13 16:50:19.944,2216.0
other-shards-raw.json,8.0,2.0,48.07,50.0,2026/08/13 16:50:20.496,2364.0
other-shards-raw.json,18.0,4.0,45.48,50.0,2026/08/13 16:50:21.050,2644.0
other-shards-raw.json,9.0,2.0,41.68,50.0,2026/08/13 16:50:21.590,2644.0
other-shards-raw.json,15.0,3.0,42.0,50.0,2026/08/13 16:50:22.139,2298.0
other-shards-raw.json,9.0,2.0,42.6,50.0,2026/08/13 16:50:22.678,2224.0
other-shards-raw.json,10.0,2.0,44.1,50.0,2026/08/13 16:50:23.249,2220.0
other-shards-raw.json,0.0,1.0,38.53,50.0,2026/08/13 16:50:23.817,2216.0
other-shards-raw.json,0.0,1.0,35.65,49.0,2026/08/13 16:50:24.529,2216.0
other-shards-raw.json,0.0,1.0,35.25,50.0,2026/08/13 16:50:25.274,2212.0
other-shards-raw.json,0.0,1.0,35.4,50.0,2026/08/13 16:50:25.843,2212.0
other-shards-raw.json,0.0,1.0,35.48,50.0,2026/08/13 16:50:26.398,2218.0
other-shards-raw.json,6.0,1.0,40.76,50.0,2026/08/13 16:50:26.953,2220.0
other-shards-raw.json,13.0,2.0,46.19,50.0,2026/08/13 16:50:27.492,2424.0
other-shards-raw.json,11.0,2.0,45.19,50.0,2026/08/13 16:50:28.031,2214.0
other-shards-raw.json,12.0,2.0,41.98,50.0,2026/08/13 16:50:28.584,2424.0
other-shards-raw.json,6.0,2.0,42.14,50.0,2026/08/13 16:50:29.135,2214.0
other-shards-raw.json,7.0,2.0,43.66,50.0,2026/08/13 16:50:29.688,2214.0
other-shards-raw.json,6.0,2.0,45.88,50.0,2026/08/13 16:50:30.242,2222.0
other-shards-raw.json,11.0,2.0,48.2,50.0,2026/08/13 16:50:30.795,2214.0
other-shards-raw.json,11.0,2.0,45.18,50.0,2026/08/13 16:50:31.349,2424.0
other-shards-raw.json,12.0,2.0,42.27,50.0,2026/08/13 16:50:31.888,2424.0
other-shards-raw.json,6.0,2.0,42.44,50.0,2026/08/13 16:50:32.442,2260.0
other-shards-raw.json,10.0,2.0,44.38,50.0,2026/08/13 16:50:32.993,2214.0
other-shards-raw.json,7.0,2.0,46.14,50.0,2026/08/13 16:50:33.545,2214.0
other-shards-raw.json,5.0,1.0,48.21,50.0,2026/08/13 16:50:34.095,2214.0
other-shards-raw.json,11.0,2.0,49.06,50.0,2026/08/13 16:50:34.637,2424.0
other-shards-raw.json,12.0,2.0,45.64,50.0,2026/08/13 16:50:35.187,2424.0
other-shards-raw.json,9.0,2.0,42.29,50.0,2026/08/13 16:50:35.740,2270.0
other-shards-raw.json,7.0,2.0,44.21,50.0,2026/08/13 16:50:36.279,2260.0
other-shards-raw.json,8.0,2.0,46.11,50.0,2026/08/13 16:50:36.832,2214.0
other-shards-raw.json,3.0,1.0,47.05,50.0,2026/08/13 16:50:37.385,2214.0
other-shards-raw.json,13.0,3.0,48.86,50.0,2026/08/13 16:50:37.937,2424.0
other-shards-raw.json,12.0,2.0,46.56,50.0,2026/08/13 16:50:38.476,2424.0
