timestamp, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/10 10:11:55.432, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.57 W
2026/09/10 10:11:55.632, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.57 W
2026/09/10 10:11:55.832, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.57 W
2026/09/10 10:11:56.032, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.57 W
2026/09/10 10:11:56.233, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.57 W
2026/09/10 10:11:56.433, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.48 W
2026/09/10 10:11:56.633, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.48 W
2026/09/10 10:11:56.833, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.48 W
2026/09/10 10:11:57.033, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.48 W
2026/09/10 10:11:57.233, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.48 W
2026/09/10 10:11:57.434, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.40 W
2026/09/10 10:11:57.634, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.40 W
2026/09/10 10:11:57.834, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.40 W
2026/09/10 10:11:58.034, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.40 W
2026/09/10 10:11:58.234, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.40 W
2026/09/10 10:11:58.434, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.42 W
2026/09/10 10:11:58.635, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.42 W
2026/09/10 10:11:58.835, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.42 W
2026/09/10 10:11:59.035, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.42 W
2026/09/10 10:11:59.235, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.42 W
2026/09/10 10:11:59.436, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.47 W
2026/09/10 10:11:59.636, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.47 W
2026/09/10 10:11:59.836, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.47 W
2026/09/10 10:12:00.036, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.47 W
2026/09/10 10:12:00.275, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.47 W
2026/09/10 10:12:00.475, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.45 W
2026/09/10 10:12:00.675, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 223 MiB, 0 %, 19.45 W
2026/09/10 10:12:00.875, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.39 W
2026/09/10 10:12:01.076, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.39 W
2026/09/10 10:12:01.276, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.39 W
2026/09/10 10:12:01.476, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.34 W
2026/09/10 10:12:01.676, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.34 W
2026/09/10 10:12:01.876, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.32 W
2026/09/10 10:12:02.077, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.32 W
2026/09/10 10:12:02.277, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.32 W
2026/09/10 10:12:02.477, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.32 W
2026/09/10 10:12:02.677, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.32 W
2026/09/10 10:12:02.878, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.31 W
2026/09/10 10:12:03.078, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.31 W
2026/09/10 10:12:03.278, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.31 W
2026/09/10 10:12:03.478, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.31 W
2026/09/10 10:12:03.679, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.31 W
2026/09/10 10:12:03.879, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.32 W
2026/09/10 10:12:04.079, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.32 W
2026/09/10 10:12:04.279, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.32 W
2026/09/10 10:12:04.479, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.32 W
2026/09/10 10:12:04.680, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.32 W
2026/09/10 10:12:04.880, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.30 W
2026/09/10 10:12:05.080, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.30 W
2026/09/10 10:12:05.280, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.30 W
2026/09/10 10:12:05.480, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.30 W
2026/09/10 10:12:05.681, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.30 W
2026/09/10 10:12:05.881, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.30 W
2026/09/10 10:12:06.081, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.30 W
2026/09/10 10:12:06.281, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.30 W
2026/09/10 10:12:06.482, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.30 W
2026/09/10 10:12:06.682, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.30 W
2026/09/10 10:12:06.882, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.27 W
2026/09/10 10:12:07.082, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.27 W
2026/09/10 10:12:07.283, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.27 W
2026/09/10 10:12:07.483, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.27 W
2026/09/10 10:12:07.683, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.27 W
2026/09/10 10:12:07.883, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.24 W
2026/09/10 10:12:08.083, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.24 W
2026/09/10 10:12:08.284, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.24 W
2026/09/10 10:12:08.484, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.24 W
2026/09/10 10:12:08.684, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.24 W
2026/09/10 10:12:08.884, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.31 W
2026/09/10 10:12:09.084, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.31 W
2026/09/10 10:12:09.284, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.31 W
2026/09/10 10:12:09.485, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.31 W
2026/09/10 10:12:09.685, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.31 W
2026/09/10 10:12:09.885, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.37 W
2026/09/10 10:12:10.085, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.37 W
2026/09/10 10:12:10.285, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.37 W
2026/09/10 10:12:10.486, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.37 W
2026/09/10 10:12:10.686, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.37 W
2026/09/10 10:12:10.886, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.43 W
2026/09/10 10:12:11.086, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.43 W
2026/09/10 10:12:11.286, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.43 W
2026/09/10 10:12:11.486, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.43 W
2026/09/10 10:12:11.687, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.43 W
2026/09/10 10:12:11.887, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.40 W
2026/09/10 10:12:12.087, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.40 W
2026/09/10 10:12:12.287, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.40 W
2026/09/10 10:12:12.487, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.40 W
2026/09/10 10:12:12.687, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.40 W
2026/09/10 10:12:12.888, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.39 W
2026/09/10 10:12:13.088, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.39 W
2026/09/10 10:12:13.288, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.39 W
2026/09/10 10:12:13.488, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.39 W
2026/09/10 10:12:13.688, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.39 W
2026/09/10 10:12:13.889, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.44 W
2026/09/10 10:12:14.089, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.44 W
2026/09/10 10:12:14.289, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.44 W
2026/09/10 10:12:14.489, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.44 W
2026/09/10 10:12:14.689, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.44 W
2026/09/10 10:12:14.889, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.42 W
2026/09/10 10:12:15.090, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.42 W
2026/09/10 10:12:15.290, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.42 W
2026/09/10 10:12:15.490, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.42 W
2026/09/10 10:12:15.690, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.42 W
2026/09/10 10:12:15.890, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.36 W
2026/09/10 10:12:16.090, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.36 W
2026/09/10 10:12:16.291, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.36 W
2026/09/10 10:12:16.491, GPU-13cdb39c-61f8-2692-cbcc-e5c206ed6829, 2275 MiB, 0 %, 19.36 W
