sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786528863737707700,2026/08/12 20:01:03.769,87.0,17.0,20451.0,32607.0,325.14,2835.0,13801.0
1786528864277403300,2026/08/12 20:01:04.308,84.0,14.0,20451.0,32607.0,336.49,2812.0,13801.0
1786528864817288400,2026/08/12 20:01:04.848,83.0,16.0,20451.0,32607.0,348.29,2805.0,13801.0
1786528865371087200,2026/08/12 20:01:05.419,74.0,9.0,20451.0,32607.0,344.68,2805.0,13801.0
1786528889458751300,2026/08/12 20:01:29.490,0.0,0.0,20409.0,32607.0,24.84,450.0,810.0
1786528890012449800,2026/08/12 20:01:30.044,59.0,14.0,20411.0,32607.0,111.34,2872.0,13801.0
1786528890553280500,2026/08/12 20:01:30.585,81.0,19.0,20411.0,32607.0,250.07,2872.0,13801.0
1786528891094893600,2026/08/12 20:01:31.126,83.0,20.0,20411.0,32607.0,294.48,2872.0,13801.0
1786528891635957100,2026/08/12 20:01:31.666,78.0,15.0,20411.0,32607.0,290.31,2865.0,13801.0
1786528892174721600,2026/08/12 20:01:32.206,87.0,22.0,20411.0,32607.0,289.33,2872.0,13801.0
1786528892714835300,2026/08/12 20:01:32.746,83.0,17.0,20411.0,32607.0,294.29,2857.0,13801.0
1786528893269455100,2026/08/12 20:01:33.301,79.0,14.0,20411.0,32607.0,303.99,2857.0,13801.0
1786528893809853500,2026/08/12 20:01:33.840,86.0,22.0,20411.0,32607.0,287.0,2872.0,13801.0
1786528894348110000,2026/08/12 20:01:34.380,86.0,22.0,20411.0,32607.0,282.73,2872.0,13801.0
1786528894887547800,2026/08/12 20:01:34.935,83.0,17.0,20411.0,32607.0,332.75,2850.0,13801.0
1786528895445839200,2026/08/12 20:01:35.477,87.0,22.0,20411.0,32607.0,316.42,2872.0,13801.0
1786528895986701100,2026/08/12 20:01:36.018,84.0,21.0,20411.0,32607.0,298.68,2872.0,13801.0
1786528896539053000,2026/08/12 20:01:36.570,88.0,22.0,20411.0,32607.0,291.8,2872.0,13801.0
1786528897078877900,2026/08/12 20:01:37.110,82.0,16.0,20411.0,32607.0,301.2,2865.0,13801.0
1786528897633256600,2026/08/12 20:01:37.664,85.0,16.0,20411.0,32607.0,321.36,2857.0,13801.0
1786528898187390100,2026/08/12 20:01:38.217,82.0,15.0,20411.0,32607.0,331.55,2857.0,13801.0
1786528898726748400,2026/08/12 20:01:38.758,76.0,7.0,20411.0,32607.0,328.04,2835.0,13801.0
1786528899266936300,2026/08/12 20:01:39.298,87.0,22.0,20411.0,32607.0,310.27,2872.0,13801.0
1786528899807220000,2026/08/12 20:01:39.838,82.0,21.0,20411.0,32607.0,296.32,2872.0,13801.0
1786528900360663700,2026/08/12 20:01:40.392,86.0,21.0,20411.0,32607.0,292.09,2872.0,13801.0
1786528900902267200,2026/08/12 20:01:40.934,87.0,21.0,20411.0,32607.0,292.25,2872.0,13801.0
1786528901443914700,2026/08/12 20:01:41.475,84.0,16.0,20411.0,32607.0,330.38,2850.0,13801.0
1786528901997143400,2026/08/12 20:01:42.029,84.0,17.0,20411.0,32607.0,341.59,2850.0,13801.0
1786528902537533600,2026/08/12 20:01:42.569,76.0,6.0,20411.0,32607.0,339.13,2835.0,13801.0
