microcell_id,layer_start,layer_end_exclusive,chunk_rows,service_p50_ms,cuda_p50_ms,host_overhead_p50_ms,resident_bytes,resident_gib,bottleneck_operator,phase_ms,evidence_class
2,16,24,8,245.29851845217414,217.59959027506568,27.698928177108474,146200854528,136.16015625,routed_expert_compute,"{""attention_and_pre_moe"":62.306214339541704,""boundary_d2h"":12.475774187462639,""boundary_h2d"":4.3089243702633775,""expert_collection"":0.7870079232971608,""expert_dispatch"":0.714714638272311,""latent_down"":6.366155436692538,""latent_up"":6.062599823983507,""residual"":4.077489647621964,""routed_expert_compute"":101.29616074083675,""router"":12.2681341840561,""scatter_reduction"":6.604930562841712,""shared_expert"":28.03041259730439}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
3,24,32,1,86.49660611895357,79.0127650569968,7.483841061956771,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":26.260012138984045,""boundary_d2h"":3.4347830890896875,""boundary_h2d"":0.9673813477796858,""expert_collection"":0.4881586591009857,""expert_dispatch"":0.7913636721922057,""latent_down"":2.5543716332115562,""latent_up"":1.7699148424470132,""residual"":0.8543684964579481,""routed_expert_compute"":27.09391395696142,""router"":13.177864765496706,""scatter_reduction"":1.2717390862373452,""shared_expert"":7.832734430994987}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
3,24,32,2,101.85088748322104,95.68269525059482,6.168192232626228,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":19.65586586067564,""boundary_d2h"":5.441993384356737,""boundary_h2d"":1.455072091155212,""expert_collection"":0.7726299651679917,""expert_dispatch"":0.8380551269793184,""latent_down"":2.729065908606708,""latent_up"":2.1180247311039966,""residual"":1.1264538717538757,""routed_expert_compute"":45.353473612537364,""router"":11.173496951959544,""scatter_reduction"":2.004898690705072,""shared_expert"":9.181857288219602}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
3,24,32,4,147.50220186651512,138.5212409031654,8.980960963349725,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":28.30664290297182,""boundary_d2h"":7.7080635169050495,""boundary_h2d"":2.521324090812841,""expert_collection"":0.820397573324901,""expert_dispatch"":0.7891560090364054,""latent_down"":3.9630925921955824,""latent_up"":3.4810410411677943,""residual"":1.9529677000781465,""routed_expert_compute"":67.05577273451007,""router"":11.402436645280275,""scatter_reduction"":3.912042004993217,""shared_expert"":15.589265055238997}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
3,24,32,8,226.22182106579046,203.97279376315808,22.249027302632374,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":52.95088679745122,""boundary_d2h"":12.686430521678489,""boundary_h2d"":3.8446657216845663,""expert_collection"":0.6682711222670142,""expert_dispatch"":0.7379488479091402,""latent_down"":6.020675698863814,""latent_up"":5.8718727000127675,""residual"":3.7815473370965225,""routed_expert_compute"":94.55656717627075,""router"":11.209253685652618,""scatter_reduction"":6.795644176019734,""shared_expert"":27.098057280883854}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
4,32,40,1,71.61101170803586,67.85323703905348,3.75777466898238,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":20.696935242456046,""boundary_d2h"":2.826821858260852,""boundary_h2d"":0.733249848909101,""expert_collection"":0.5736002635742026,""expert_dispatch"":0.7050109936537199,""latent_down"":2.1324216668707994,""latent_up"":1.4639600846049596,""residual"":0.6122780385470566,""routed_expert_compute"":23.559224477523713,""router"":10.997629481984752,""scatter_reduction"":1.0368837900389505,""shared_expert"":6.2729959616117075}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
4,32,40,2,96.39115734246336,90.04229810495106,6.348859237512303,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":19.273770822832308,""boundary_d2h"":5.257823759992236,""boundary_h2d"":1.3181396552504179,""expert_collection"":0.830256133051851,""expert_dispatch"":0.8623060559891139,""latent_down"":2.7052749464842925,""latent_up"":2.11028254383507,""residual"":1.2003253446169775,""routed_expert_compute"":40.597086969253716,""router"":11.031221151677725,""scatter_reduction"":2.108908821640621,""shared_expert"":9.095761137839018}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
4,32,40,4,140.51424097441966,133.19795224013598,7.316288734283698,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":27.749839259504718,""boundary_d2h"":7.346897100536927,""boundary_h2d"":2.7409526485034026,""expert_collection"":0.7765736582768703,""expert_dispatch"":0.564373373867996,""latent_down"":3.9828934563195793,""latent_up"":3.50233105156867,""residual"":2.0076134638676253,""routed_expert_compute"":61.20134812862767,""router"":11.227205096714266,""scatter_reduction"":3.8079708542059993,""shared_expert"":15.60624288242596}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
4,32,40,8,211.25634185425884,192.36471064796532,18.89163120629349,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":51.69904967803317,""boundary_d2h"":12.146180973763624,""boundary_h2d"":3.6112849956153976,""expert_collection"":0.6970580406876729,""expert_dispatch"":0.49198414062211526,""latent_down"":5.9625447411214765,""latent_up"":5.747017066902983,""residual"":3.580095442073346,""routed_expert_compute"":83.75605023672742,""router"":10.715754931956818,""scatter_reduction"":6.412462351106499,""shared_expert"":26.43685925564829}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
5,40,48,1,78.40972175118368,74.31897948863792,4.090742262545768,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":23.541345213475356,""boundary_d2h"":3.101541514199123,""boundary_h2d"":0.8312244633158542,""expert_collection"":0.42981276141195734,""expert_dispatch"":0.4834058393352073,""latent_down"":2.3843159568195076,""latent_up"":1.6686812916245342,""residual"":0.6736505493383421,""routed_expert_compute"":25.05902702044394,""router"":12.044872950504432,""scatter_reduction"":1.1233598984528748,""shared_expert"":7.0684842922625535}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
5,40,48,2,100.48111632157752,93.54792746622229,6.933188855355235,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":19.277199302395253,""boundary_d2h"":4.668180874763109,""boundary_h2d"":1.3231676888978479,""expert_collection"":0.8401024711193275,""expert_dispatch"":0.5310539833733302,""latent_down"":2.673837882803248,""latent_up"":2.1019226153529744,""residual"":1.2080114416993672,""routed_expert_compute"":45.789026691261626,""router"":10.925561183626911,""scatter_reduction"":2.1313476089084,""shared_expert"":9.011704577376113}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
5,40,48,4,150.59660326435537,140.91959057098575,9.677012693369615,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":27.594363060868105,""boundary_d2h"":8.495978547470154,""boundary_h2d"":2.565414572447825,""expert_collection"":0.7681392541586346,""expert_dispatch"":0.6740150495579199,""latent_down"":4.005636836843019,""latent_up"":3.52145103279176,""residual"":2.1773564572821567,""routed_expert_compute"":69.55314353031002,""router"":11.46539298085597,""scatter_reduction"":4.052339719514143,""shared_expert"":15.723372222255643}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
5,40,48,8,230.08025828495408,208.01142398769937,22.06883429725471,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":51.139888339086745,""boundary_d2h"":12.812618281848685,""boundary_h2d"":3.979761915909187,""expert_collection"":1.0936605828382497,""expert_dispatch"":0.5502190312896716,""latent_down"":6.188732775134215,""latent_up"":5.88482959594199,""residual"":3.5443442618902967,""routed_expert_compute"":99.3001644219755,""router"":11.440594189542104,""scatter_reduction"":6.943380810292389,""shared_expert"":27.20206407920509}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
6,48,56,1,72.27478328251246,67.99223809848597,4.282545184026477,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":20.69156386732208,""boundary_d2h"":3.0457998528260894,""boundary_h2d"":0.7310005819179151,""expert_collection"":0.4604686029775257,""expert_dispatch"":0.8170502066945924,""latent_down"":2.1530379600975786,""latent_up"":1.4772369569261163,""residual"":0.7980850743410829,""routed_expert_compute"":23.54637842036942,""router"":11.04727481292915,""scatter_reduction"":1.2181149905657016,""shared_expert"":6.288771955545194}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
6,48,56,2,96.77582814556462,91.03923209187887,5.736596053685727,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":18.739257070585364,""boundary_d2h"":4.323985118104637,""boundary_h2d"":1.2746303964971846,""expert_collection"":0.8900245045945572,""expert_dispatch"":0.6242134069188287,""latent_down"":2.6563876491935785,""latent_up"":2.048348394023548,""residual"":1.092579965248332,""routed_expert_compute"":43.69952353351075,""router"":10.780196993191927,""scatter_reduction"":1.806408714736042,""shared_expert"":8.840272398959845}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
6,48,56,4,147.23401440727866,138.5871746268468,8.64683978043184,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":27.13585610507333,""boundary_d2h"":7.5492409118630315,""boundary_h2d"":2.5077702688371706,""expert_collection"":0.593030156460604,""expert_dispatch"":0.47210568217540816,""latent_down"":4.061277485273999,""latent_up"":3.471278372834773,""residual"":2.208135603448283,""routed_expert_compute"":68.73771294267532,""router"":11.23312533366289,""scatter_reduction"":3.7914061232090535,""shared_expert"":15.47307542176478}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
6,48,56,8,222.2005074413667,202.14806923233334,20.05243820903335,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":52.56492162859595,""boundary_d2h"":12.477336393001057,""boundary_h2d"":3.9768463509775027,""expert_collection"":0.6147498271432257,""expert_dispatch"":0.8831538894605434,""latent_down"":6.050604794715654,""latent_up"":5.870685251562053,""residual"":3.3367115512659256,""routed_expert_compute"":92.15478354981164,""router"":10.884307187660228,""scatter_reduction"":6.455621174617333,""shared_expert"":26.930785842555554}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
7,56,64,1,84.73116727590403,78.95779776000074,5.773369515903276,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":24.33363434449624,""boundary_d2h"":3.4123695650967827,""boundary_h2d"":1.370678118972656,""expert_collection"":0.5861301379376704,""expert_dispatch"":0.5691734617776493,""latent_down"":2.5291275344267308,""latent_up"":1.7199874460650395,""residual"":0.6753116814716524,""routed_expert_compute"":27.64030077732692,""router"":12.935403757662513,""scatter_reduction"":1.6508373545898134,""shared_expert"":7.3082130960803395}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
7,56,64,2,99.56155735773174,93.45678636542682,6.104770992304906,146196660224,136.15625,routed_expert_compute,"{""attention_and_pre_moe"":18.873207448139276,""boundary_d2h"":4.760229952243352,""boundary_h2d"":1.3277539662902598,""expert_collection"":0.7673336061588661,""expert_dispatch"":0.8090634317079128,""latent_down"":2.678209798823734,""latent_up"":2.073864236027762,""residual"":0.808270287526268,""routed_expert_compute"":45.50051806009636,""router"":10.904042194237288,""scatter_reduction"":2.1022902080579082,""shared_expert"":8.95677416842274}","PHYSICAL real-K3 representative layer composition, globally anchored to immutable E016/E017 serial compute"
