sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786575826485220400,2026/08/13 09:03:46.516,0.0,1.0,10427.0,32607.0,35.65,352.0,7001.0
1786575827031958600,2026/08/13 09:03:47.063,0.0,1.0,10467.0,32607.0,35.9,345.0,7001.0
1786575827579041100,2026/08/13 09:03:47.610,1.0,1.0,10517.0,32607.0,36.19,352.0,7001.0
1786575828127819800,2026/08/13 09:03:48.159,0.0,1.0,10561.0,32607.0,36.11,330.0,7001.0
1786575828674025200,2026/08/13 09:03:48.704,1.0,1.0,10611.0,32607.0,36.09,352.0,7001.0
1786575829220387500,2026/08/13 09:03:49.250,0.0,1.0,10663.0,32607.0,35.98,345.0,7001.0
1786575829764497900,2026/08/13 09:03:49.795,0.0,1.0,10713.0,32607.0,35.82,345.0,7001.0
1786575830308899000,2026/08/13 09:03:50.340,0.0,1.0,10757.0,32607.0,35.87,352.0,7001.0
1786575830858207300,2026/08/13 09:03:50.888,0.0,1.0,10807.0,32607.0,35.7,352.0,7001.0
1786575831406733600,2026/08/13 09:03:51.438,0.0,1.0,10859.0,32607.0,35.74,337.0,7001.0
1786575831950340700,2026/08/13 09:03:51.982,0.0,1.0,10909.0,32607.0,35.64,337.0,7001.0
1786575832497340000,2026/08/13 09:03:52.528,0.0,1.0,10953.0,32607.0,35.67,337.0,7001.0
1786575833043424900,2026/08/13 09:03:53.074,2.0,1.0,11009.0,32607.0,36.41,352.0,7001.0
1786575833590214500,2026/08/13 09:03:53.621,3.0,1.0,11176.0,32607.0,38.35,547.0,7001.0
1786575834136702800,2026/08/13 09:03:54.168,1.0,1.0,11226.0,32607.0,40.28,615.0,7001.0
1786575834677909900,2026/08/13 09:03:54.709,0.0,1.0,11270.0,32607.0,38.14,337.0,7001.0
1786575835226151600,2026/08/13 09:03:55.257,1.0,1.0,11296.0,32607.0,35.78,330.0,7001.0
1786575835771086600,2026/08/13 09:03:55.802,1.0,1.0,11351.0,32607.0,38.4,562.0,7001.0
1786575836316890700,2026/08/13 09:03:56.347,1.0,1.0,11402.0,32607.0,38.65,405.0,7001.0
1786575836861882400,2026/08/13 09:03:56.893,1.0,1.0,11446.0,32607.0,36.49,345.0,7001.0
1786575837409606800,2026/08/13 09:03:57.441,1.0,1.0,11490.0,32607.0,36.94,390.0,7001.0
1786575837953344500,2026/08/13 09:03:57.984,1.0,1.0,11536.0,32607.0,37.1,390.0,7001.0
1786575838500935500,2026/08/13 09:03:58.532,1.0,1.0,11494.0,32607.0,37.41,435.0,7001.0
1786575839045929500,2026/08/13 09:03:59.076,1.0,1.0,11538.0,32607.0,37.04,352.0,7001.0
1786575839587739500,2026/08/13 09:03:59.619,1.0,1.0,11584.0,32607.0,36.62,375.0,7001.0
1786575840136535300,2026/08/13 09:04:00.167,0.0,1.0,11634.0,32607.0,36.62,375.0,7001.0
1786575840683074200,2026/08/13 09:04:00.714,0.0,1.0,11676.0,32607.0,36.43,367.0,7001.0
1786575841232441000,2026/08/13 09:04:01.263,2.0,1.0,11726.0,32607.0,36.91,382.0,7001.0
1786575841779160800,2026/08/13 09:04:01.810,1.0,1.0,11769.0,32607.0,36.85,337.0,7001.0
1786575842322471700,2026/08/13 09:04:02.353,1.0,1.0,11814.0,32607.0,36.92,375.0,7001.0
1786575842871055700,2026/08/13 09:04:02.901,1.0,1.0,11852.0,32607.0,37.05,405.0,7001.0
1786575843417191100,2026/08/13 09:04:03.448,0.0,1.0,11902.0,32607.0,36.65,367.0,7001.0
1786575843961043800,2026/08/13 09:04:03.993,1.0,1.0,11946.0,32607.0,36.5,352.0,7001.0
1786575844508676200,2026/08/13 09:04:04.540,1.0,1.0,11998.0,32607.0,36.76,382.0,7001.0
1786575845054300200,2026/08/13 09:04:05.085,1.0,1.0,12049.0,32607.0,36.38,352.0,7001.0
1786575845603127700,2026/08/13 09:04:05.634,1.0,1.0,12100.0,32607.0,36.12,345.0,7001.0
1786575846147881100,2026/08/13 09:04:06.178,1.0,1.0,12140.0,32607.0,36.97,420.0,7001.0
1786575846693815900,2026/08/13 09:04:06.724,1.0,1.0,12192.0,32607.0,37.69,420.0,7001.0
