degree,rows,operator,worker_id,stripe_index,checkpoint_bytes,runtime_weight_bytes,wall_p50_ms,cuda_p50_ms,host_overhead_p50_ms
16,4,shared_expert,layer-89.shared_expert_stripe.worker-05,5,16515072,4644864,0.1452,0.12956799566745758,0.015184000921249385
16,4,shared_expert,layer-89.shared_expert_stripe.worker-06,6,16515072,4644864,0.1413,0.12627199292182922,0.015028007078170785
16,4,shared_expert,layer-89.shared_expert_stripe.worker-07,7,16515072,4644864,0.152,0.13631999492645264,0.014475996947288516
16,4,shared_expert,layer-89.shared_expert_stripe.worker-08,8,16515072,4644864,0.1395,0.12432000041007996,0.015560003244876858
16,4,shared_expert,layer-89.shared_expert_stripe.worker-09,9,16515072,4644864,0.1459,0.13043199479579926,0.015468005204200747
16,4,shared_expert,layer-89.shared_expert_stripe.worker-10,10,16515072,4644864,0.1424,0.12729600071907043,0.015216000461578366
16,4,shared_expert,layer-89.shared_expert_stripe.worker-11,11,16515072,4644864,0.1458,0.13065600395202637,0.015143996047973646
16,4,shared_expert,layer-89.shared_expert_stripe.worker-12,12,16515072,4644864,0.1413,0.1266240030527115,0.015303999936580659
16,4,shared_expert,layer-89.shared_expert_stripe.worker-13,13,16515072,4644864,0.1429,0.1276800036430359,0.01521999635696411
16,4,shared_expert,layer-89.shared_expert_stripe.worker-14,14,16515072,4644864,0.144,0.12803199887275696,0.01596800112724303
16,4,shared_expert,layer-89.shared_expert_stripe.worker-15,15,16515072,4644864,0.1458,0.1316159963607788,0.014184003639221204
32,1,shared_expert,layer-89.shared_expert_stripe.worker-00,0,8257536,2322432,0.0788,0.06521599739789963,0.013820001459121697
32,1,shared_expert,layer-89.shared_expert_stripe.worker-01,1,8257536,2322432,0.0836,0.06726399809122086,0.014095999753475183
32,1,shared_expert,layer-89.shared_expert_stripe.worker-02,2,8257536,2322432,0.0786,0.06470400094985962,0.0119319972038269
32,1,shared_expert,layer-89.shared_expert_stripe.worker-03,3,8257536,2322432,0.0779,0.063680000603199,0.011564001524448392
32,1,shared_expert,layer-89.shared_expert_stripe.worker-04,4,8257536,2322432,0.0813,0.0660799965262413,0.014016000831127168
32,1,shared_expert,layer-89.shared_expert_stripe.worker-05,5,8257536,2322432,0.0817,0.0660799965262413,0.01467200076580047
32,1,shared_expert,layer-89.shared_expert_stripe.worker-06,6,8257536,2322432,0.0777,0.06380800157785416,0.013891998422145849
32,1,shared_expert,layer-89.shared_expert_stripe.worker-07,7,8257536,2322432,0.0798,0.06623999774456024,0.01354000117778778
32,1,shared_expert,layer-89.shared_expert_stripe.worker-08,8,8257536,2322432,0.0818,0.06697600334882736,0.013423996651172637
32,1,shared_expert,layer-89.shared_expert_stripe.worker-09,9,8257536,2322432,0.0783,0.06550399959087372,0.013304003679752346
32,1,shared_expert,layer-89.shared_expert_stripe.worker-10,10,8257536,2322432,0.0776,0.0642239972949028,0.013783998173475268
32,1,shared_expert,layer-89.shared_expert_stripe.worker-11,11,8257536,2322432,0.0801,0.06659200042486191,0.013507999575138097
32,1,shared_expert,layer-89.shared_expert_stripe.worker-12,12,8257536,2322432,0.0785,0.06598400324583054,0.013283996510505672
32,1,shared_expert,layer-89.shared_expert_stripe.worker-13,13,8257536,2322432,0.0786,0.06384000182151794,0.01495999817848205
32,1,shared_expert,layer-89.shared_expert_stripe.worker-14,14,8257536,2322432,0.0795,0.06451199948787689,0.014988000512123109
32,1,shared_expert,layer-89.shared_expert_stripe.worker-15,15,8257536,2322432,0.0782,0.06464000046253204,0.01431599876880646
32,1,shared_expert,layer-89.shared_expert_stripe.worker-16,16,8257536,2322432,0.0802,0.06646399945020676,0.013736000549793237
32,1,shared_expert,layer-89.shared_expert_stripe.worker-17,17,8257536,2322432,0.0808,0.06665600091218948,0.013295997691154485
