split,layer,rows,stripe_degree,worker_id,stripe_index,head_start,head_stop,runtime_weight_bytes,persistent_state_bytes,wall_p50_ms,cuda_p50_ms,host_overhead_p50_ms,physical_launches,network_visible_outputs,cross_degree_relative_l2,pass
calibration,45,2,16,kda.layer-45.p16.worker-05,5,30,36,16051224,430080,0.3187,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-06,6,36,42,16051224,430080,0.3169,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-07,7,42,48,16051224,430080,0.3209,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-08,8,48,54,16051224,430080,0.3207,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-09,9,54,60,16051224,430080,0.3232,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-10,10,60,66,16051224,430080,0.3171,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-11,11,66,72,16051224,430080,0.321,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-12,12,72,78,16051224,430080,0.317,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-13,13,78,84,16051224,430080,0.3196,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-14,14,84,90,16051224,430080,0.3148,,,8,1,1.1091338456895014e-07,True
calibration,45,2,16,kda.layer-45.p16.worker-15,15,90,96,16051224,430080,0.317,,,8,1,1.1091338456895014e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-00,0,0,3,8025612,215040,0.2638,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-01,1,3,6,8025612,215040,0.257,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-02,2,6,9,8025612,215040,0.26,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-03,3,9,12,8025612,215040,0.2574,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-04,4,12,15,8025612,215040,0.2571,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-05,5,15,18,8025612,215040,0.2759,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-06,6,18,21,8025612,215040,0.257,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-07,7,21,24,8025612,215040,0.2585,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-08,8,24,27,8025612,215040,0.2605,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-09,9,27,30,8025612,215040,0.2578,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-10,10,30,33,8025612,215040,0.2824,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-11,11,33,36,8025612,215040,0.2704,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-12,12,36,39,8025612,215040,0.2592,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-13,13,39,42,8025612,215040,0.2572,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-14,14,42,45,8025612,215040,0.2588,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-15,15,45,48,8025612,215040,0.2625,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-16,16,48,51,8025612,215040,0.2823,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-17,17,51,54,8025612,215040,0.2581,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-18,18,54,57,8025612,215040,0.263,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-19,19,57,60,8025612,215040,0.2577,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-20,20,60,63,8025612,215040,0.2586,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-21,21,63,66,8025612,215040,0.2578,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-22,22,66,69,8025612,215040,0.256,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-23,23,69,72,8025612,215040,0.2579,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-24,24,72,75,8025612,215040,0.2576,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-25,25,75,78,8025612,215040,0.2702,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-26,26,78,81,8025612,215040,0.2576,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-27,27,81,84,8025612,215040,0.2583,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-28,28,84,87,8025612,215040,0.257,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-29,29,87,90,8025612,215040,0.2614,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-30,30,90,93,8025612,215040,0.2573,,,8,1,1.1130430768646564e-07,True
calibration,45,2,32,kda.layer-45.p32.worker-31,31,93,96,8025612,215040,0.2623,,,8,1,1.1130430768646564e-07,True
calibration,45,4,4,kda.layer-45.p4.worker-00,0,0,24,64204896,1720320,0.9285,,,8,1,0.0,True
calibration,45,4,4,kda.layer-45.p4.worker-01,1,24,48,64204896,1720320,0.9252,,,8,1,0.0,True
calibration,45,4,4,kda.layer-45.p4.worker-02,2,48,72,64204896,1720320,0.9244,,,8,1,0.0,True
calibration,45,4,4,kda.layer-45.p4.worker-03,3,72,96,64204896,1720320,0.9272,,,8,1,0.0,True
calibration,45,4,8,kda.layer-45.p8.worker-00,0,0,12,32102448,860160,0.6308,,,8,1,1.095156126191047e-07,True
calibration,45,4,8,kda.layer-45.p8.worker-01,1,12,24,32102448,860160,0.6337,,,8,1,1.095156126191047e-07,True
calibration,45,4,8,kda.layer-45.p8.worker-02,2,24,36,32102448,860160,0.6339,,,8,1,1.095156126191047e-07,True
calibration,45,4,8,kda.layer-45.p8.worker-03,3,36,48,32102448,860160,0.6326,,,8,1,1.095156126191047e-07,True
calibration,45,4,8,kda.layer-45.p8.worker-04,4,48,60,32102448,860160,0.6351,,,8,1,1.095156126191047e-07,True
calibration,45,4,8,kda.layer-45.p8.worker-05,5,60,72,32102448,860160,0.63,,,8,1,1.095156126191047e-07,True
calibration,45,4,8,kda.layer-45.p8.worker-06,6,72,84,32102448,860160,0.6321,,,8,1,1.095156126191047e-07,True
calibration,45,4,8,kda.layer-45.p8.worker-07,7,84,96,32102448,860160,0.6321,,,8,1,1.095156126191047e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-00,0,0,6,16051224,430080,0.4674,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-01,1,6,12,16051224,430080,0.4832,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-02,2,12,18,16051224,430080,0.4864,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-03,3,18,24,16051224,430080,0.4843,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-04,4,24,30,16051224,430080,0.4832,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-05,5,30,36,16051224,430080,0.4806,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-06,6,36,42,16051224,430080,0.4839,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-07,7,42,48,16051224,430080,0.4891,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-08,8,48,54,16051224,430080,0.4833,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-09,9,54,60,16051224,430080,0.485,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-10,10,60,66,16051224,430080,0.4847,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-11,11,66,72,16051224,430080,0.4817,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-12,12,72,78,16051224,430080,0.4806,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-13,13,78,84,16051224,430080,0.4812,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-14,14,84,90,16051224,430080,0.4792,,,8,1,1.1187574470121398e-07,True
calibration,45,4,16,kda.layer-45.p16.worker-15,15,90,96,16051224,430080,0.4828,,,8,1,1.1187574470121398e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-00,0,0,3,8025612,215040,0.3874,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-01,1,3,6,8025612,215040,0.3871,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-02,2,6,9,8025612,215040,0.3889,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-03,3,9,12,8025612,215040,0.388,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-04,4,12,15,8025612,215040,0.3842,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-05,5,15,18,8025612,215040,0.3878,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-06,6,18,21,8025612,215040,0.3859,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-07,7,21,24,8025612,215040,0.3886,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-08,8,24,27,8025612,215040,0.3847,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-09,9,27,30,8025612,215040,0.387,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-10,10,30,33,8025612,215040,0.392,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-11,11,33,36,8025612,215040,0.3849,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-12,12,36,39,8025612,215040,0.394,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-13,13,39,42,8025612,215040,0.39,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-14,14,42,45,8025612,215040,0.4047,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-15,15,45,48,8025612,215040,0.3851,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-16,16,48,51,8025612,215040,0.3872,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-17,17,51,54,8025612,215040,0.387,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-18,18,54,57,8025612,215040,0.3847,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-19,19,57,60,8025612,215040,0.3847,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-20,20,60,63,8025612,215040,0.3855,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-21,21,63,66,8025612,215040,0.3849,,,8,1,1.1254593608699046e-07,True
calibration,45,4,32,kda.layer-45.p32.worker-22,22,66,69,8025612,215040,0.3867,,,8,1,1.1254593608699046e-07,True
